,Variable,Year,Average,Median,StDev,percentile_90,percentile_75,Avg-SD,R2_Amb,R2_Scen,R2_Mod,R2_Amb_Scen,R2_Amb_Mod,R2_Scen_Mod,R2_Amb_Scen_Mod,R2_Residual,R2_Amb_Shapley,R2_Scen_Shapley,R2_Mod_Shapley,R2_Amb_Scen_Mod_Shapley,Test_R2_Shapley_vs_R2,Plot_Avg_SD,Plot_Avg_SD_Surrogate,Plot_Amb,Plot_Scen,Plot_Mod,Plot_Resid,Avg_vs_Mid_point,R2_Amb_Scen_Mod_Shapleys_sum,R2_Amb_Shapley_norm,R2_Scen_Shapley_norm,R2_Mod_Shapley_norm,R2_Amb_rcp,R2_Scen_rcp,R2_Mod_rcp,R2_Amb_rcp_Scen,R2_Amb_rcp_Mod,R2_Scen_rcp_Mod,R2_Amb_rcp_Scen_Mod,R2_Residual_rcp,R2_Amb_Shapley_rcp,R2_Scen_Shapley_rcp,R2_Mod_Shapley_rcp,R2_Amb_rcp_Scen_Mod_Shapley,Test_R2_Shapley_vs_R2_rcp,Plot_Avg_SD_rcp,Plot_Avg_SD_Surrogate_rcp,Plot_Amb_rcp,Plot_Scen_rcp,Plot_Mod_rcp,Plot_Resid_rcp,Avg_vs_Mid_point_rcp,R2_Amb_rcp_Scen_Mod_Shapleys_sum,R2_Amb_Shapley_rcp_norm,R2_Scen_Shapley_rcp_norm,R2_Mod_Shapley_rcp_norm,Type
2,Primary Energy Fossil w CCS,2040,25.479426465987043,13.8752205231887,33.02429436022005,67.7817,41.0995109632558,-7.544867894233004,0.37270604768483906,0.12989356629241422,0.10154661491273154,0.5754870827436412,0.44211260835636457,0.22936775040793234,0.6507846382285738,0.3492153617714262,0.39573423015097015,0.16795556048054167,0.08709484759706197,0.6507846382285738,0,0.0,-7.544867894233004,26.137687409841412,11.093227737490299,5.752491768607756,23.06518180450063,0,0.6507846382285738,0.6080878479678821,0.2580816304111207,0.13383052162099718,0.3295613035392818,0.12989356629241422,0.10154661491273154,0.5169383357765431,0.4163255449356247,0.22936775040793234,0.6056260924676083,0.39437390753239165,0.35224383178415625,0.15893106589687633,0.09445119478657575,0.6056260924676083,0,0.0,-7.544867894233004,23.26520797482362,10.497172606323948,6.238368118612717,26.047840020679807,0,0.6056260924676083,0.5816193129145866,0.2624244032309039,0.15595628385450952,Fossil
3,Primary Energy Fossil w CCS,2050,50.7555840216221,32.8946711023233,58.54679696375204,136.0,83.6,-7.791212942129938,0.25641690730422795,0.22554762501029113,0.13600154698356215,0.6009634953193077,0.339318303511274,0.3523998844646137,0.6708816057079455,0.3291183942920545,0.2880883139886413,0.27919446331834274,0.10359882840096143,0.6708816057079455,0,0.0,-7.791212942129938,33.73329605344526,32.69188311460546,12.130759144147355,38.537655615306,0,0.6708816057079455,0.42941751799058064,0.4161605579030949,0.15442192410632444,0.26545462039436574,0.22554762501029113,0.13600154698356215,0.5475394859049356,0.34686469004212406,0.3523998844646137,0.6195532302263167,0.3804467697736833,0.266345156044224,0.2491592555634315,0.10404881861866122,0.6195532302263167,0,0.0,-7.791212942129938,31.18731154640007,29.174952694223656,12.183450115970043,44.547879570910304,0,0.6195532302263167,0.42989874485349827,0.40215956177391904,0.16794169337258272,Fossil
4,Primary Energy Fossil w CCS,2060,70.96067063853928,43.359973588,79.21942974672719,189.2139,105.911792747,-8.258759108187903,0.1546623072695128,0.2915821187894341,0.13376955880139807,0.5866067773479586,0.2459471487515631,0.4118564946862904,0.6557543422095342,0.3442456577904658,0.2007204263490338,0.3521350050763581,0.10289891078414232,0.6557543422095342,0,0.0,-8.258759108187903,31.801915427780823,55.79186859201994,16.303186067758222,54.54188940589538,0,0.6557543422095342,0.3060908840842983,0.5369922582439262,0.1569168576717756,0.21308058273356312,0.2915821187894341,0.13376955880139807,0.5395617037357621,0.2953427277725281,0.4118564946862904,0.6057025804821219,0.3942974195178781,0.20390101516270787,0.3014086666475245,0.10039289867188951,0.6057025804821219,0,0.0,-8.258759108187903,32.30584429193698,47.754845385076564,15.906136366816105,62.472033449624725,0,0.6057025804821219,0.3366355398393854,0.49761826407873627,0.1657461960818784,Fossil
5,Primary Energy Fossil w CCS,2070,83.29686020081346,50.7795123940628,88.58511655327482,220.8869,132.6145455932617,-5.28825635246136,0.11307176288204757,0.317442913382309,0.10908001060138062,0.5798401516225756,0.19226258398544882,0.4207864091937886,0.6431365163149093,0.3568634836850907,0.16940392527177855,0.3858514131260792,0.08788117791705158,0.6431365163149094,0,0.0,-5.28825635246136,30.01333292956552,68.36138480803903,15.56992877724219,63.225586591702886,0,0.6431365163149094,0.26340274727742335,0.5999525813538917,0.13664467136868477,0.21347236658057278,0.317442913382309,0.10908001060138062,0.5433441071168135,0.2803963824263438,0.4207864091937886,0.6010750921533395,0.39892490784666046,0.19745661077328586,0.3196368975578764,0.08398158382217732,0.6010750921533397,0,0.0,-5.28825635246136,34.983433759132296,56.630143649783285,14.879036782432394,70.67761891520166,0,0.6010750921533397,0.32850572807118233,0.5317753168123861,0.1397189551164314,Fossil
6,Primary Energy Fossil w CCS,2080,89.64443855914257,60.9475374875728,94.21232658607542,240.3,142.8448,-4.567888026932849,0.09330101924258483,0.29522335939537314,0.12203882360336071,0.5342411773656719,0.1898643545716503,0.42427719974982436,0.622697152229259,0.37730284777074097,0.1483808820637712,0.3665484747292524,0.1077677954362354,0.6226971522292589,0,0.0,-4.567888026932849,27.958616240243906,69.06676922164029,20.306109478199954,71.0931582320667,0,0.6226971522292589,0.2382873946549569,0.5886464606703388,0.17306614467470446,0.23651428709419375,0.29522335939537314,0.12203882360336071,0.5184776763684384,0.31651843464456064,0.42427719974982436,0.6003916932824609,0.3996083067175391,0.20716524821132098,0.29039916691454254,0.1028272781565974,0.6003916932824609,0,0.0,-4.567888026932849,39.0350400435407,54.71836230735422,19.375194223293146,75.29605659796277,0,0.6003916932824609,0.34505015730432137,0.4836828526505297,0.17126699004514903,Fossil
7,Primary Energy Fossil w CCS,2090,92.10613835489121,62.4305839137132,99.66536549192983,240.0835,142.05886115646362,-7.559227137038619,0.1036291022169451,0.26082546107666005,0.14550826987570842,0.49374006277025806,0.22194307117043133,0.4229880904374268,0.6123956660794212,0.3876043339205788,0.14923712645103332,0.3283578155143886,0.13480072411399935,0.6123956660794212,0,0.0,-7.559227137038619,29.74754550541517,65.45180339074642,26.869926874797088,77.26145521290101,0,0.6123956660794212,0.24369396244499034,0.5361857271403421,0.22012031041466765,0.26974985520595063,0.26082546107666005,0.14550826987570842,0.4966938261696221,0.36929576548586873,0.4229880904374268,0.6088391926011595,0.3911608073988405,0.22847629590708152,0.25086026131821526,0.12950263537586276,0.6088391926011596,0,0.0,-7.559227137038619,45.542347075643185,50.004159263361906,25.81385497380697,77.97036967104762,0,0.6088391926011596,0.37526542095780047,0.4120304086313143,0.21270417041088513,Fossil
8,Primary Energy Fossil w CCS,2100,92.48990771361802,60.8886856728696,104.83553935911121,246.194609753164,155.5279947605133,-12.345631645493185,0.1214673878692154,0.24546941190382798,0.17197748119880307,0.48137902525716614,0.26291167150434014,0.4373019269570946,0.6265878774333613,0.3734121225666387,0.15805841339163992,0.30725455313532346,0.16127491090639795,0.6265878774333613,0,0.0,-12.345631645493185,33.14027803631588,64.42239359696866,33.81468453992967,78.29372254500822,0,0.6265878774333613,0.2522525875206542,0.4903614707547554,0.25738594172459045,0.2936757203606405,0.24546941190382798,0.17197748119880307,0.493361199489633,0.41618504452568994,0.4373019269570946,0.6329930041298343,0.3670069958701657,0.2451388243299087,0.2315941113172048,0.1562600684827208,0.6329930041298343,0,0.0,-12.345631645493185,51.39852173296878,48.55858714466641,32.76321711935538,76.95075272123185,0,0.6329930041298343,0.38726940539713745,0.36587151802028783,0.24685907658257475,Fossil
0,Primary Energy Unabated Fossil,2020,499.35062843738837,497.3,34.03845576319225,540.066606460944,523.9589234758645,465.3121726741961,0.2155391954516287,0.4545519645010988,0.21613640583063454,0.5242265882026573,0.4440286400997636,0.6853250619514348,0.7600130979030342,0.23998690209696583,0.1463368867961906,0.3864914822467613,0.22718472886008229,0.7600130979030342,0,465.3121726741961,0.0,9.962163295470813,26.311146442613975,15.466034686753474,16.33756710154624,0,0.7600130979030342,0.19254521691790755,0.5085326599148579,0.29892212316723454,0.1553370483989619,0.4545519645010988,0.21613640583063454,0.5258674958961105,0.37200041795357497,0.6853250619514348,0.7533804053694919,0.2466195946305081,0.112327387858665,0.4185971679086634,0.22245584960216352,0.7533804053694919,0,465.3121726741961,0.0,7.646901645244214,28.4968023649132,15.144107191893184,16.789100324333912,0,0.7533804053694919,0.14909783564595705,0.5556252391557283,0.2952769251983148,Fossil
1,Primary Energy Unabated Fossil,2030,523.7753607799111,545.40640625,121.71124406334506,665.523875,602.6316782285155,402.06411671656605,0.5166241059994394,0.20949183817433348,0.11627530822848231,0.6047957869118648,0.6920346142802635,0.3288539781296903,0.7722981958076969,0.22770180419230313,0.48186665035736737,0.14671019836952784,0.14372134708080161,0.7722981958076969,0,402.06411671656605,0.0,117.2971789752642,35.71256152067075,34.985007903328345,55.427739727426825,0,0.7722981958076969,0.6239385938917209,0.18996574013240197,0.186095665975877,0.5157795191543284,0.20949183817433348,0.11627530822848231,0.6218049047331401,0.6778557384205457,0.3288539781296903,0.7684717280481842,0.2315282719518158,0.48078133914941906,0.15313661851399393,0.13455377038477118,0.7684717280481841,0,402.06411671656605,0.0,117.03298982063365,37.276896701984164,32.75341357388835,56.359188030183965,0,0.7684717280481841,0.6256330865554933,0.1992742386280632,0.1750926748164436,Fossil
2,Primary Energy Unabated Fossil,2040,522.0401160121859,543.1,181.78659330731494,734.71856892,629.684365645448,340.25352270487093,0.7709696609338347,0.16003023246882075,0.05004308211244335,0.8298302226093732,0.8655609056456777,0.21146209865731525,0.9142432511357155,0.08575674886428453,0.7388032400830428,0.10628412235635461,0.06915588869631811,0.9142432511357155,0,340.25352270487093,0.0,268.6090482782053,38.64205705163907,25.143226826487037,31.178854458298467,0,0.9142432511357155,0.8081035754601055,0.11625365812033453,0.07564276641956005,0.7199814625963363,0.16003023246882075,0.05004308211244335,0.8057191790038674,0.8013287676578279,0.21146209865731525,0.8724217181276699,0.1275782818723301,0.6931427993689688,0.11823384980495474,0.0610450689537463,0.8724217181276699,0,340.25352270487093,0.0,252.00813634556107,42.98665753930293,22.19435024662335,46.38404248314253,0,0.8724217181276699,0.7945042918653414,0.1355237350792916,0.069971973055367,Fossil
3,Primary Energy Unabated Fossil,2050,503.98402702240946,512.469296875,231.22821664680134,768.7665300000001,646.334937174764,272.7558103756081,0.8530984287187982,0.1300463163032528,0.03989557147879219,0.8935968030635687,0.9235151467911353,0.17391659260626657,0.9571870401946015,0.042812959805398454,0.8199846357811542,0.08365930248094716,0.05354310193250017,0.9571870401946014,0,272.7558103756081,0.0,379.2071700189064,38.688782637169474,24.761351947179833,19.799128690346944,0,0.9571870401946014,0.8566608210809528,0.08740120683616732,0.05593797208288002,0.7612215746378943,0.1300463163032528,0.03989557147879219,0.8361714860236087,0.8197074229821216,0.17391659260626657,0.8851688728588141,0.11483112714118593,0.7384807885007614,0.0999977441455132,0.04669034021253937,0.885168872858814,0,272.7558103756081,0.0,341.51519150590946,46.244600094940274,21.59224820395583,53.10439348879706,0,0.885168872858814,0.8342823738432005,0.1129702446749537,0.05274738148184586,Fossil
4,Primary Energy Unabated Fossil,2060,476.9507200182285,456.080922377366,271.83036769133537,809.1128476000001,646.2534459040235,205.1203523268931,0.8986994809881171,0.10735833489957836,0.03445628854298455,0.9246801116537987,0.9502374184118613,0.14814205166349437,0.9729327127031466,0.02706728729685337,0.8633471984464394,0.06662894202798647,0.042956572228720846,0.9729327127031466,0,205.1203523268931,0.0,469.3679727979598,36.223539620704464,23.353801647385186,14.715421316621326,0,0.9729327127031466,0.8873657830331961,0.06848257968720983,0.04415163727959408,0.7728122295088313,0.10735833489957836,0.03445628854298455,0.8348326573018984,0.8136449928652376,0.14814205166349437,0.872078181789809,0.127921818210191,0.7500266243324775,0.0845482064269794,0.037503351030352114,0.8720781817898089,0,205.1203523268931,0.0,407.7600261411768,45.96554008137747,20.389099400475672,69.54606975964076,0,0.8720781817898089,0.8600451656675563,0.09695025995657518,0.043004574375868625,Fossil
5,Primary Energy Unabated Fossil,2070,447.2200000503484,394.0333,301.41738930072233,825.4974800000003,607.4437485620895,145.80261074962607,0.9272282083078678,0.10904065268020446,0.026006051142874576,0.9461266477053102,0.9630605166997791,0.14239429788493274,0.9806582119302995,0.01934178806970055,0.8841874508814132,0.06476056366015837,0.03171019738872788,0.9806582119302993,0,145.80261074962607,0.0,533.0189461942724,39.03992005617633,19.116009822241878,11.659902528753994,0,0.9806582119302993,0.9016265199482744,0.06603785383358544,0.0323356262181402,0.77056691634928,0.10904065268020446,0.026006051142874576,0.8324493513501019,0.7966237705353789,0.14239429788493274,0.8586760668966952,0.14132393310330482,0.744620631464081,0.08674276330432025,0.027312672128293823,0.8586760668966951,0,145.80261074962607,0.0,448.88321351071716,52.29155451183742,16.465028655473855,85.19498192341614,0,0.8586760668966951,0.8671729190673533,0.10101919297438161,0.0318078879582651,Fossil
6,Primary Energy Unabated Fossil,2080,411.30327396105156,332.511153134457,321.0087438884367,860.6727773268049,571.8279564662546,90.29453007261486,0.9474292028416325,0.11566161878281078,0.016071941692368474,0.9609755895724194,0.970291650525149,0.13896236277376206,0.9835564918243829,0.016443508175617128,0.897263390567816,0.06571495466271164,0.020578146593855297,0.9835564918243829,0,90.29453007261486,0.0,576.0587878865088,42.19015010192526,13.211529979291202,10.557019809148187,0,0.9835564918243829,0.9122642146395646,0.06681360471813677,0.020922180642298675,0.7603098115771069,0.11566161878281078,0.016071941692368474,0.8265786497204404,0.7757118432161185,0.13896236277376206,0.8437804662108475,0.15621953378915254,0.733468793748294,0.09276995712996776,0.017541715332585674,0.8437804662108473,0,90.29453007261486,0.0,470.89979232501344,59.55993481775015,11.262088009123715,100.2956726249861,0,0.8437804662108473,0.8692649606384841,0.10994560889347019,0.020789430468045794,Fossil
7,Primary Energy Unabated Fossil,2090,375.5997737890011,275.33162426174,336.80869849281567,860.9222537500001,515.6382089288595,38.791075296185454,0.949533933059267,0.12111496534157318,0.011842844651150486,0.9585466833392879,0.9675070245207351,0.13943745509048977,0.9771171195145452,0.022882880485454837,0.8945871821389908,0.0663429135650211,0.016187023810533347,0.9771171195145453,0,38.791075296185454,0.0,602.6094890091779,44.68974074411225,10.903860844195908,15.414306388145388,0,0.9771171195145453,0.91553731305357,0.06789658295822493,0.016566103988205058,0.7516319847947498,0.12111496534157318,0.011842844651150486,0.820450318571223,0.7620027829231897,0.13943745509048977,0.8336934687987263,0.1663065312012737,0.7235452147512769,0.09700404110833867,0.013144212939110686,0.8336934687987263,0,38.791075296185454,0.0,487.39264416216474,65.34360966848627,8.854170505468595,112.02697264951166,0,0.8336934687987263,0.8678791928091236,0.11635456524340097,0.01576624194747532,Fossil
8,Primary Energy Unabated Fossil,2100,342.95641705753883,223.615,347.4548614473958,900.4898962134043,454.987423242309,-4.498444389856957,0.9408489087184475,0.1237315071292383,0.010424693391236417,0.9465331453266712,0.9583705964566862,0.13743747033100107,0.9641452833497112,0.03585471665028883,0.8843101641228663,0.06528490026541915,0.0145502189614257,0.9641452833497112,0,0.0,-4.498444389856957,614.5157311036687,45.36711195265653,10.111088626542875,24.91579121192348,0,0.9641452833497112,0.917195965581582,0.06771272067898429,0.015091313739433706,0.7390328123071177,0.1237315071292383,0.010424693391236417,0.807960751873447,0.7499821525502087,0.13743747033100107,0.8193094112522941,0.18069058874770594,0.7109327017266671,0.09700970802812353,0.011367001497503469,0.8193094112522942,0,0.0,-4.498444389856957,494.03404675372377,67.41298932392796,7.899039860774816,125.56364695636508,0,0.8193094112522942,0.8677218788931328,0.11840423983394331,0.01387388127292385,Fossil
0,Primary Energy Coal,2020,160.4867252552819,160.076475356322,21.673009968828822,189.5909498,174.89465869999998,138.8137152864531,0.10274443312415649,0.1617418015671912,0.47911186582474097,0.228058870799823,0.600435931432249,0.632388104783558,0.7123301575688938,0.28766984243110616,0.09216901777652076,0.1376437886736926,0.48251735111868055,0.7123301575688938,0,138.8137152864531,0.0,3.9951600821753903,5.966310408144614,20.91520672185608,12.46934272548156,0,0.7123301575688938,0.1293908685420307,0.19323032615024474,0.6773788053077247,0.11230038297118128,0.1617418015671912,0.47911186582474097,0.24238995926482987,0.5837280123609541,0.632388104783558,0.704369840153565,0.29563015984643504,0.09230475681937138,0.14135551232867832,0.4707095710055153,0.704369840153565,0,138.8137152864531,0.0,4.0010438294331125,6.127198855696702,20.403386449651343,12.81439080287649,0,0.704369840153565,0.13104586760734577,0.20068365263603613,0.6682704797566181,Fossil
