,Variable,Year,Average,Median,StDev,percentile_90,percentile_75,Avg-SD,R2_Amb,R2_Scen,R2_Mod,R2_Amb_Scen,R2_Amb_Mod,R2_Scen_Mod,R2_Amb_Scen_Mod,R2_Residual,R2_Amb_Shapley,R2_Scen_Shapley,R2_Mod_Shapley,R2_Amb_Scen_Mod_Shapley,Test_R2_Shapley_vs_R2,Plot_Avg_SD,Plot_Avg_SD_Surrogate,Plot_Amb,Plot_Scen,Plot_Mod,Plot_Resid,Avg_vs_Mid_point,R2_Amb_Scen_Mod_Shapleys_sum,R2_Amb_Shapley_norm,R2_Scen_Shapley_norm,R2_Mod_Shapley_norm,R2_Amb_rcp,R2_Scen_rcp,R2_Mod_rcp,R2_Amb_rcp_Scen,R2_Amb_rcp_Mod,R2_Scen_rcp_Mod,R2_Amb_rcp_Scen_Mod,R2_Residual_rcp,R2_Amb_Shapley_rcp,R2_Scen_Shapley_rcp,R2_Mod_Shapley_rcp,R2_Amb_rcp_Scen_Mod_Shapley,Test_R2_Shapley_vs_R2_rcp,Plot_Avg_SD_rcp,Plot_Avg_SD_Surrogate_rcp,Plot_Amb_rcp,Plot_Scen_rcp,Plot_Mod_rcp,Plot_Resid_rcp,Avg_vs_Mid_point_rcp,R2_Amb_rcp_Scen_Mod_Shapleys_sum,R2_Amb_Shapley_rcp_norm,R2_Scen_Shapley_rcp_norm,R2_Mod_Shapley_rcp_norm,Type
5,Emissions CO2 Carbon Capture and Storage Biomass,2070,4.50654625849005,3.2145456271838553,4.79731269902412,11.426776840000002,7.552657912238084,-0.2907664405340702,0.615328809871788,0.10000398283493073,0.07794435262368626,0.8017228041563543,0.6484869967860482,0.15850879808441698,0.8372045730493283,0.16279542695067173,0.6433851058595307,0.14073359299028648,0.05308587419951115,0.8372045730493284,0,0.0,-0.2907664405340702,6.173039077405809,1.3502861056631865,0.5093390768722235,1.561961138107022,0,0.8372045730493284,0.7684921064348059,0.16809940786359562,0.06340848570159842,0.574173012222549,0.10000398283493073,0.07794435262368626,0.756492531167017,0.6133793115665243,0.15850879808441698,0.7923155746451516,0.20768442535484843,0.6013138474735819,0.13679407603871913,0.05420765113285053,0.7923155746451515,0,0.0,-0.2907664405340702,5.7693811131681345,1.3124879162636367,0.5201021063277862,1.9926542622886827,0,0.7923155746451515,0.7589322571916978,0.17265099969792225,0.06841674311038012,Emissions
6,Emissions CO2 Carbon Capture and Storage Biomass,2080,5.808848360812528,4.905888438291661,5.60899815777435,14.84537956344347,9.768135425,0.1998502030381779,0.6232159763096323,0.09788912176620745,0.07015839543640567,0.811477589945534,0.6559742460079172,0.15090580985042712,0.8512485933732569,0.14875140662674313,0.6577536397359603,0.1425559943855029,0.05093895925179361,0.8512485933732569,0,0.1998502030381779,0.0,7.378677907096749,1.5991926197759525,0.5714330572045061,1.6686927314714908,0,0.8512485933732569,0.7726927772408635,0.1674669367976209,0.05984028596151561,0.5919780845121311,0.09788912176620745,0.07015839543640567,0.7627159562688066,0.6341575716442542,0.15090580985042712,0.8054063893347934,0.19459361066520664,0.6202972231172404,0.13162686084736502,0.05348230537018794,0.8054063893347935,0,0.1998502030381779,0.0,6.958491963474293,1.476589640012982,0.5999643045898186,2.182950407471606,0,0.8054063893347935,0.7701667522523138,0.16342912421650782,0.06640412353117833,Emissions
7,Emissions CO2 Carbon Capture and Storage Biomass,2090,6.899894411076056,6.0339896806260525,6.2297687766624,16.130721736611875,11.417578327579395,0.6701256344136555,0.6096476621215011,0.09118072759289708,0.06563151309224036,0.7958269673810674,0.6365949548543897,0.13838904123213436,0.8279887423016123,0.17201125769838765,0.645684067988713,0.1373476439132833,0.04495703039961607,0.8279887423016123,0,0.6701256344136555,0.0,8.044924892688893,1.7112881271982356,0.5601438085499811,2.143180724887691,0,0.8279887423016123,0.7798222789767218,0.16588105235765577,0.05429666866562242,0.5887190723424054,0.09118072759289708,0.06563151309224036,0.7448480344222939,0.6286667837006706,0.13838904123213436,0.783731182845689,0.216268817154311,0.6141375008916246,0.12022945728260223,0.04936422467146225,0.7837311828456891,0,0.6701256344136555,0.0,7.6518692552642396,1.4980034380284424,0.6150554110848465,2.694609448947273,0,0.7837311828456891,0.7836073316130178,0.15340649946586918,0.06298616892111297,Emissions
8,Emissions CO2 Carbon Capture and Storage Biomass,2100,7.774338618366657,7.012550955744936,6.947205764203457,17.28326466649776,11.826457777499874,0.8271328541631995,0.5928458585259591,0.08795311104083237,0.08334675715646622,0.7718316348353295,0.6255992886413285,0.1502712608791169,0.8058576470850958,0.19414235291490423,0.6204992574572059,0.1303888698335367,0.05496951979435319,0.8058576470850958,0,0.8271328541631995,0.0,8.621472036181332,1.811676616191041,0.763769129541653,2.697493746492889,0,0.8058576470850958,0.7699861876370373,0.16180136815127608,0.06821244421168668,0.5609581631128415,0.08795311104083237,0.08334675715646622,0.7078240055168419,0.6128034581277708,0.1502712608791169,0.7550566943943603,0.2449433056056397,0.5801357981172472,0.1123671734569158,0.0625537228201972,0.7550566943943603,0,0.8271328541631995,0.0,8.060645521401826,1.5612757502942702,0.8691471674977186,3.4033430892130982,0,0.7550566943943603,0.7683340899090775,0.1488195181780976,0.08284639191282485,Emissions
0,Emissions CO2 Fossil Fuels and Industry,2020,38.02625015127403,38.37,2.4913428413479797,40.752070763300786,39.42484122561005,35.53490730992605,0.2664551549229399,0.4828849764956571,0.10854355137701066,0.5858141007542186,0.3863433222968329,0.6051525918802985,0.7132446788492093,0.2867553211507907,0.18830389649368087,0.4059234420717723,0.11901734028375618,0.7132446788492094,0,35.53490730992605,0.0,0.9382591290549256,2.0225889230816825,0.593025997424425,1.4288116331349268,0,0.7132446788492094,0.26401023670797147,0.5691222859548183,0.16686747733721016,0.1977865517994556,0.4828849764956571,0.10854355137701066,0.5820202893495148,0.3085545186063373,0.6051525918802985,0.7036680336909161,0.29633196630908387,0.14862504455055514,0.43947329353563647,0.11556969560472452,0.7036680336909161,0,35.53490730992605,0.0,0.7405518815721002,2.1897572876272546,0.5758474676431911,1.4765290458534135,0,0.7036680336909161,0.21121471693261287,0.6245463378952832,0.16423894517210388,Emissions
1,Emissions CO2 Fossil Fuels and Industry,2030,38.89329180491645,40.58272113037109,9.649560998863107,50.392465274530075,44.87559461304845,29.243730806053343,0.5971508613145212,0.18849199088116952,0.07782392514872738,0.656299146665537,0.7258778372362079,0.27392345852732525,0.7850147545190764,0.21498524548092357,0.5553908970807322,0.12508427250961496,0.10453958492872933,0.7850147545190764,0,29.243730806053343,0.0,10.718556679187655,2.41401663515989,2.017522203131208,4.149026480247462,0,0.7850147545190764,0.7074910297972441,0.1593400274192876,0.13316894278346833,0.5914011523120306,0.18849199088116952,0.07782392514872738,0.6674824002539417,0.7085042555515209,0.27392345852732525,0.7780524510012837,0.22194754899871627,0.5501218382245906,0.13137685899706228,0.0965537537796308,0.7780524510012837,0,29.243730806053343,0.0,10.616868469509779,2.53545802946238,1.8634026735315132,4.283392825222542,0,0.7780524510012837,0.7070498107378662,0.16885347360321537,0.12409671565891833,Emissions
2,Emissions CO2 Fossil Fuels and Industry,2040,37.509456707430786,40.028469477,15.0004328346741,55.50172546633325,47.027102095222304,22.509023872756686,0.8643170360614221,0.117588453788801,0.013822848571619084,0.8896518678348355,0.9064194865149005,0.13522841477147662,0.9288403210361267,0.07115967896387332,0.8300863227735767,0.07112649576555424,0.02762750249699575,0.9288403210361268,0,22.509023872756686,0.0,24.903308263493287,2.1338564449938566,0.8288489911919514,2.1348519696691066,0,0.9288403210361268,0.8936803280111814,0.07657559017917334,0.029744081809645287,0.8028193898050882,0.117588453788801,0.013822848571619084,0.8463859547574325,0.8365050156924361,0.13522841477147662,0.8744945607297374,0.1255054392702626,0.7726084566026911,0.07935468813406776,0.022531415992978587,0.8744945607297374,0,22.509023872756686,0.0,23.178922521539775,2.380709338943187,0.6759619845455543,3.7652718243196865,0,0.8744945607297374,0.8834914375659173,0.09074348966544611,0.025765072768636606,Emissions
3,Emissions CO2 Fossil Fuels and Industry,2050,35.17259887952601,35.1572587815051,19.650970228705653,59.31612288000257,47.62729123800225,15.521628650820354,0.9287191580454186,0.08526389212785945,0.009843091675792337,0.9438135039291932,0.9521014433795094,0.09933312923761584,0.9656893076600573,0.03431069233994266,0.8984931060734618,0.05038131604373547,0.016814885542860036,0.9656893076600572,0,15.521628650820354,0.0,35.312522556293736,1.9800834833169123,0.6608576304036713,1.3484767873969847,0,0.9656893076600572,0.9304163346807502,0.05217135122456046,0.017412314094689373,0.8301210875355753,0.08526389212785945,0.009843091675792337,0.8633350318620803,0.8471086934081389,0.09933312923761584,0.8778716043174171,0.12212839568258294,0.8054426444495535,0.059126264660433955,0.013302695207429698,0.8778716043174171,0,15.521628650820354,0.0,31.655458854016256,2.3237769331535176,0.5228217349654928,4.799882935276043,0,0.8778716043174171,0.9174948141486132,0.06735183638432772,0.015153349467059155,Emissions
4,Emissions CO2 Fossil Fuels and Industry,2060,32.35790160915333,31.9865976,23.747640936679712,62.915188322480475,47.508550779607106,8.610260672473618,0.9541039239661391,0.0668500905432049,0.011682761537852637,0.9656339191872877,0.9686553049836986,0.08312752493122977,0.9797032196777797,0.020296780322220265,0.9261859349192179,0.039795128181516315,0.013722156577045619,0.9797032196777797,0,8.610260672473618,0.0,43.98946204612918,1.8900808301675867,0.6517376945371546,0.9640013025255064,0,0.9797032196777797,0.9453739829739832,0.040619574767351244,0.014006442258665618,0.8272748728609183,0.0668500905432049,0.011682761537852637,0.8527429959313962,0.8374308832290701,0.08312752493122977,0.8630209203248774,0.13697907967512257,0.8043295939314234,0.04696552362364658,0.01172580276980739,0.8630209203248774,0,8.610260672473618,0.0,38.20186078285768,2.230640782835015,0.5569203077434207,6.505859999923305,0,0.8630209203248774,0.9319931591329674,0.05441991325768416,0.013586927609348454,Emissions
5,Emissions CO2 Fossil Fuels and Industry,2070,29.402602830057244,26.3609319,27.135523662928232,64.45236606680287,46.50553813968355,2.267079167129012,0.96832729128245,0.06413822862162288,0.011889660876029384,0.978423679716909,0.9770161001502554,0.08070835945105936,0.9872916489189392,0.012708351081060831,0.9382055086450287,0.03795710696501705,0.011129033308893494,0.9872916489189393,0,2.267079167129012,0.0,50.91739556105359,2.0599719484510364,0.6039842933979918,0.6896955229538515,0,0.9872916489189393,0.9502820262607724,0.03844568826909371,0.011272285470133895,0.8191416951187055,0.06413822862162288,0.011889660876029384,0.8431537129274351,0.8245549218271881,0.08070835945105936,0.8506742471766371,0.1493257528233629,0.7949826518242562,0.04555763738765054,0.010133957964730303,0.850674247176637,0,2.267079167129012,0.0,43.14454112038908,2.4724606947193903,0.5499805123021183,8.104064998445873,0,0.850674247176637,0.9345324070439189,0.05355473912470609,0.01191285383137507,Emissions
6,Emissions CO2 Fossil Fuels and Industry,2080,26.042970316733808,19.629170166015623,29.789905210295615,67.8240516912468,44.167554372764656,-3.746934893561807,0.9753127155323785,0.0667025523257464,0.011461407506392574,0.9826756534087266,0.9805555125092215,0.08204635185276199,0.9885887059782108,0.011411294021789198,0.941462890900244,0.03790322896869817,0.009222586109268663,0.9885887059782108,0,0.0,-3.746934893561807,56.092180557858306,2.2582671962832985,0.549479931977805,0.6798827344718265,0,0.9885887059782108,0.9523302109431488,0.038340746500024836,0.009329042556826393,0.8071758281061884,0.0667025523257464,0.011461407506392574,0.8302215881706162,0.8119041630965749,0.08204635185276199,0.8382085751966336,0.1617914248033664,0.7817729823891952,0.04660743887706792,0.009828153930370342,0.8382085751966335,0,0.0,-3.746934893561807,46.57788608268846,2.776862372485,0.5855595479558536,9.63950241746191,0,0.8382085751966335,0.932671181759028,0.0556036292830032,0.011725188957968818,Emissions
7,Emissions CO2 Fossil Fuels and Industry,2090,22.76778467865059,15.136907516479493,31.97589440429985,69.61061213989258,39.689929314981384,-9.208109725649262,0.9688466386299884,0.07093662974146908,0.013176742047380507,0.9742460982588116,0.9744820759636842,0.08671605237744617,0.9806959495250447,0.019304050474955314,0.93171131233147,0.03887329609409133,0.010111341099483343,0.9806959495250446,0,0.0,-9.208109725649262,59.584605076805445,2.486016822103492,0.646638350565873,1.2345285591248911,0,0.9806959495250446,0.9500511476392881,0.03963847929923422,0.01031037306147773,0.7968070686506683,0.07093662974146908,0.013176742047380507,0.8198568816554422,0.8030612109486016,0.08671605237744617,0.8301093754323826,0.1698906245676174,0.769867584037734,0.048759785297556625,0.011482006097092028,0.8301093754323827,0,0.0,-9.208109725649262,49.23440914496805,3.118275491702006,0.7342948290202835,10.864809342909368,0,0.8301093754323827,0.9274290916624447,0.05873898878946995,0.01383191954808527,Emissions
8,Emissions CO2 Fossil Fuels and Industry,2100,19.66360294742688,9.59773706002894,33.683932553209786,73.44737695165566,34.053959739681204,-14.020329605782905,0.9556321674619306,0.07580730160866811,0.014069694085940276,0.9613275159100685,0.9612102717086027,0.08904045529866822,0.9667796484406368,0.033220351559363204,0.9165672521886434,0.04056991105704503,0.009642485194948239,0.9667796484406367,0,0.0,-14.020329605782905,61.74717900640618,2.7331082954704495,0.6495936419039208,2.2379841626390156,0,0.9667796484406367,0.9480622121773218,0.04196396885524235,0.009973818967435906,0.7798189859590011,0.07580730160866811,0.014069694085940276,0.8033510953206566,0.7888475422939839,0.08904045529866822,0.8143131679525308,0.18568683204746916,0.75208417319096,0.05017478751813559,0.012054207243435311,0.8143131679525308,0,0.0,-14.020329605782905,50.666305128201685,3.380168317265023,0.8120662075405758,12.50932545341229,0,0.8143131679525308,0.9235810039544904,0.06161608272194912,0.01480291332356054,Emissions
0,Emissions CO2 Land Use,2020,3.442172780709456,3.444623434290907,2.21135468775464,6.0161861,5.271971527353433,1.230818092954816,0.045163719783400724,0.2258211854376252,0.7107890874517226,0.2402716312673434,0.7309238363331167,0.8512535135055838,0.8598884807565987,0.14011151924340126,0.023697094796657287,0.17419066621000304,0.6620007197499385,0.8598884807565987,0,1.230818092954816,0.0,0.10480536332950835,0.7703946925731879,2.927836789831944,0.6196725297746396,0,0.8598884807565987,0.027558334978283097,0.20257355472041694,0.7698681103013,0.032426322844825495,0.2258211854376252,0.7107890874517226,0.23354625027888076,0.7316486443285178,0.8512535135055838,0.8591821003191104,0.14081789968088965,0.018215740172459156,0.17471560605739198,0.6662507540892593,0.8591821003191105,0,1.230818092954816,0.0,0.08056292484257614,0.7727163489578134,2.946633456550695,0.6227966451581959,0,0.8591821003191105,0.02120125659705156,0.20335107771972963,0.7754476656832188,Emissions
1,Emissions CO2 Land Use,2030,2.1614761555305084,1.6237845747296602,3.169350704505029,5.797143340000001,4.293367816550914,-1.0078745489745207,0.13138685040264575,0.24728699595465664,0.4697847492817895,0.30740707908309717,0.5608926218552331,0.670619888950353,0.7098836142120422,0.29011638578795784,0.08208818450509235,0.1949018908286577,0.4328935388782921,0.7098836142120422,0,0.0,-1.0078745489745207,0.5203324907855065,1.235424890014337,2.7439828848391805,1.838961143371034,0,0.7098836142120422,0.11563611676853358,0.27455471140152354,0.6098091718299429,0.12596123705351603,0.24728699595465664,0.4697847492817895,0.30722433562458484,0.5720771150141455,0.670619888950353,0.7249184437495542,0.27508155625044584,0.08712488151795311,0.19705914793662718,0.44073441429497395,0.7249184437495543,0,0.0,-1.0078745489745207,0.5522586092376838,1.2490990986842203,2.793683852890774,1.7436598481973806,0,0.7249184437495543,0.12018577023273135,0.2718363005324602,0.6079779292348084,Emissions
2,Emissions CO2 Land Use,2040,1.2832285514648931,1.17748076290425,3.635956451633759,6.114336321313715,3.58016919089886,-2.352727900168866,0.16490271317876404,0.20475086109606955,0.4685926746660981,0.30341149363491904,0.5868050429421001,0.6554729822875629,0.7266822795039498,0.2733177204960502,0.11484950360085891,0.16910754723224306,0.44272522867084785,0.7266822795039498,0,0.0,-2.352727900168866,0.8351755871689552,1.2297353547580696,3.219459302973601,1.9875426583668923,0,0.7266822795039498,0.1580463798831834,0.23271180817520387,0.6092418119416128,0.15869367685347557,0.20475086109606955,0.4685926746660981,0.29902396960172517,0.6024829677497762,0.6554729822875629,0.7410147753225087,0.2589852246774913,0.11943905689436274,0.1689626562845531,0.45261306214359287,0.7410147753225087,0,0.0,-2.352727900168866,0.8685504189842196,1.2286817204059963,3.291362766789416,1.8833179970878862,0,0.7410147753225087,0.16118309765467198,0.22801523250466388,0.6108016698406641,Emissions
3,Emissions CO2 Land Use,2050,-0.15685892567350335,0.3525511913575919,4.808783375132843,4.898297080563402,2.4121455000000003,-4.965642300806346,0.18168448807505588,0.15185206038476096,0.47091890816251736,0.28335323444599836,0.6023933628746644,0.607139967663865,0.708589133493503,0.29141086650649695,0.1382071560971287,0.12566424464658157,0.44471773274979276,0.708589133493503,0,0.0,-4.965642300806346,1.3292165491285244,1.2085842610102158,4.277102479747948,2.8026634603789975,0,0.708589133493503,0.19504554835005228,0.17734430110017171,0.627610150549776,0.15670300983735153,0.15185206038476096,0.47091890816251736,0.25805623061010396,0.6070518528241632,0.607139967663865,0.70726621492077,0.29273378507923,0.12599927151258364,0.1236178542061393,0.4576490892020471,0.70726621492077,0,0.0,-4.965642300806346,1.2118064042571228,1.1889029643521565,4.4014706635989835,2.8153867180574235,0,0.70726621492077,0.1781497106103088,0.17478263714319694,0.6470676522464943,Emissions
